Threshold,OOF Accuracy,OOF Precision,OOF Recall,OOF F1 Score
0.35,0.5733333333333334,0.5765199161425576,0.9259259259259259,0.710594315245478
0.36,0.5771428571428572,0.5792811839323467,0.9225589225589226,0.7116883116883117
0.37,0.5733333333333334,0.5778251599147122,0.9124579124579124,0.7075718015665796
0.38,0.5752380952380952,0.5800865800865801,0.9023569023569024,0.7061923583662714
0.39,0.579047619047619,0.5837004405286343,0.8922558922558923,0.7057256990679095
0.4,0.5752380952380952,0.5822222222222222,0.8821548821548821,0.7014725568942436
0.41000000000000003,0.5638095238095238,0.5765765765765766,0.8619528619528619,0.6909581646423751
0.42000000000000004,0.5695238095238095,0.5804988662131519,0.8619528619528619,0.6937669376693767
0.43000000000000005,0.5695238095238095,0.5831381733021077,0.8383838383838383,0.6878453038674033
0.44000000000000006,0.5676190476190476,0.5829383886255924,0.8282828282828283,0.6842837273991655
0.45000000000000007,0.5733333333333334,0.5883777239709443,0.8181818181818182,0.6845070422535211
0.4600000000000001,0.5676190476190476,0.5870646766169154,0.7946127946127947,0.6752503576537912
0.4700000000000001,0.5771428571428572,0.5968992248062015,0.7777777777777778,0.6754385964912281
0.4800000000000001,0.5847619047619048,0.6058981233243967,0.7609427609427609,0.6746268656716418
0.4900000000000001,0.5771428571428572,0.6033057851239669,0.7373737373737373,0.6636363636363637
0.5000000000000001,0.579047619047619,0.6067415730337079,0.7272727272727273,0.6615620214395099
0.5100000000000001,0.5752380952380952,0.6069364161849711,0.7070707070707071,0.6531881804043546
0.5200000000000001,0.5733333333333334,0.6102719033232629,0.6801346801346801,0.643312101910828
0.5300000000000001,0.5676190476190476,0.6121794871794872,0.6430976430976431,0.6272577996715928
0.5400000000000001,0.5523809523809524,0.6054421768707483,0.5993265993265994,0.6023688663282571
0.5500000000000002,0.5523809523809524,0.6076388888888888,0.5892255892255892,0.5982905982905983
0.5600000000000002,0.5447619047619048,0.6074074074074074,0.5521885521885522,0.5784832451499118
0.5700000000000002,0.5371428571428571,0.60546875,0.5218855218855218,0.5605786618444847
0.5800000000000002,0.5257142857142857,0.5975609756097561,0.494949494949495,0.5414364640883977
0.5900000000000002,0.5333333333333333,0.6101694915254238,0.48484848484848486,0.5403377110694184
0.6000000000000002,0.540952380952381,0.625,0.4713804713804714,0.5374280230326296
0.6100000000000002,0.5428571428571428,0.6338028169014085,0.45454545454545453,0.5294117647058824
0.6200000000000002,0.540952380952381,0.6443298969072165,0.4208754208754209,0.5091649694501018
0.6300000000000002,0.5314285714285715,0.6408839779005525,0.39057239057239057,0.48535564853556484
0.6400000000000002,0.5276190476190477,0.6416184971098265,0.37373737373737376,0.4723404255319149
0.6500000000000002,0.52,0.639751552795031,0.3468013468013468,0.4497816593886463
0.6600000000000003,0.5238095238095238,0.6577181208053692,0.32996632996632996,0.43946188340807174
