Model,Decision Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.5,0.5371428571428571,0.5978260869565217,0.5555555555555556,0.5759162303664922,0.5974215842636895
Random Forest,0.39,0.5885714285714285,0.5870967741935483,0.9191919191919192,0.7165354330708661,0.5633971291866029
Gradient Boosting,0.5,0.5542857142857143,0.6082474226804123,0.5959595959595959,0.6020408163265306,0.5719032429558745
SVM (RBF),0.5,0.5885714285714285,0.6030534351145038,0.797979797979798,0.6869565217391305,0.5671185539606592
